book_id,title,category,page_count,webp_prefix,source_relative_path,meta_source,author,dynasty,pub_year,publisher,edition_type,pub_place
bnbes_d21e9e30,百衲本二十四史 舊唐书16,百衲本二十四史,175,book/bnbes_d21e9e30/,,catalog,刘昫等,五代,,,,
bnbes_d2b68dd7,百衲本二十四史 晉书22,百衲本二十四史,159,book/bnbes_d2b68dd7/,,catalog,房玄龄等,唐,,,,
bnbes_d305ed8d,百衲本二十四史 北史03,百衲本二十四史,211,book/bnbes_d305ed8d/,,catalog,李延寿,唐,,,,
bnbes_d356d198,百衲本二十四史 辽史07,百衲本二十四史,133,book/bnbes_d356d198/,,catalog,脱脱等,元,,,,
bnbes_d3812948,百衲本二十四史 宋史131,百衲本二十四史,150,book/bnbes_d3812948/,,catalog,脱脱等,元,,,,
bnbes_d3edfb69,百衲本二十四史 史记23,百衲本二十四史,162,book/bnbes_d3edfb69/,,catalog,司马迁,汉,,,,
bnbes_d3f69b1c,百衲本二十四史 魏书23,百衲本二十四史,116,book/bnbes_d3f69b1c/,,catalog,魏收,北朝,,,,
bnbes_d407bc35,百衲本二十四史 明史030,百衲本二十四史,151,book/bnbes_d407bc35/,,catalog,张廷玉等,清,,,,
bnbes_d49891d1,百衲本二十四史 北史06,百衲本二十四史,147,book/bnbes_d49891d1/,,catalog,李延寿,唐,,,,
bnbes_d4d2704f,百衲本二十四史 宋书02,百衲本二十四史,174,book/bnbes_d4d2704f/,,catalog,沈约,南朝,,,,
bnbes_d50a2ca2,百衲本二十四史 新唐书16,百衲本二十四史,203,book/bnbes_d50a2ca2/,,catalog,欧阳修等,宋,,,,
bnbes_d58d0c22,百衲本二十四史 宋史074,百衲本二十四史,173,book/bnbes_d58d0c22/,,catalog,脱脱等,元,,,,
bnbes_d62880a9,百衲本二十四史 史记10,百衲本二十四史,134,book/bnbes_d62880a9/,,catalog,司马迁,汉,,,,
bnbes_d633539e,百衲本二十四史 舊唐书26,百衲本二十四史,174,book/bnbes_d633539e/,,catalog,刘昫等,五代,,,,
bnbes_d6550d68,百衲本二十四史 宋史082,百衲本二十四史,170,book/bnbes_d6550d68/,,catalog,脱脱等,元,,,,
bnbes_d66c912d,百衲本二十四史 史记29,百衲本二十四史,167,book/bnbes_d66c912d/,,catalog,司马迁,汉,,,,
bnbes_d6dab389,百衲本二十四史 北史28,百衲本二十四史,169,book/bnbes_d6dab389/,,catalog,李延寿,唐,,,,
bnbes_d6f133e2,百衲本二十四史 梁书05,百衲本二十四史,134,book/bnbes_d6f133e2/,,catalog,姚思廉,唐,,,,
bnbes_d70917f3,百衲本二十四史 汉书24,百衲本二十四史,140,book/bnbes_d70917f3/,,catalog,班固,汉,,,,
bnbes_d71c7c1e,百衲本二十四史 北史23,百衲本二十四史,203,book/bnbes_d71c7c1e/,,catalog,李延寿,唐,,,,
bnbes_d77c768f,百衲本二十四史 宋史076,百衲本二十四史,198,book/bnbes_d77c768f/,,catalog,脱脱等,元,,,,
bnbes_d79b074e,百衲本二十四史 宋史031,百衲本二十四史,159,book/bnbes_d79b074e/,,catalog,脱脱等,元,,,,
bnbes_d7aba7f9,百衲本二十四史 宋史068,百衲本二十四史,201,book/bnbes_d7aba7f9/,,catalog,脱脱等,元,,,,
bnbes_d7d6b701,百衲本二十四史 魏书45,百衲本二十四史,137,book/bnbes_d7d6b701/,,catalog,魏收,北朝,,,,
bnbes_d7eeac36,百衲本二十四史 汉书15,百衲本二十四史,176,book/bnbes_d7eeac36/,,catalog,班固,汉,,,,
bnbes_d84be6c1,百衲本二十四史 宋书30,百衲本二十四史,138,book/bnbes_d84be6c1/,,catalog,沈约,南朝,,,,
bnbes_d8756076,百衲本二十四史 北史14,百衲本二十四史,165,book/bnbes_d8756076/,,catalog,李延寿,唐,,,,
bnbes_d887ee32,百衲本二十四史 周书09,百衲本二十四史,148,book/bnbes_d887ee32/,,catalog,令狐德棻等,唐,,,,
bnbes_d8b4798c,百衲本二十四史 北史07,百衲本二十四史,191,book/bnbes_d8b4798c/,,catalog,李延寿,唐,,,,
bnbes_d8f1758b,百衲本二十四史 宋史032,百衲本二十四史,148,book/bnbes_d8f1758b/,,catalog,脱脱等,元,,,,
bnbes_d8f236a1,百衲本二十四史 晉书02,百衲本二十四史,131,book/bnbes_d8f236a1/,,catalog,房玄龄等,唐,,,,
bnbes_d9608fce,百衲本二十四史 新唐书13,百衲本二十四史,216,book/bnbes_d9608fce/,,catalog,欧阳修等,宋,,,,
bnbes_d9c086a7,百衲本二十四史 魏书15,百衲本二十四史,118,book/bnbes_d9c086a7/,,catalog,魏收,北朝,,,,
bnbes_da1f70b3,百衲本二十四史 新唐书08,百衲本二十四史,153,book/bnbes_da1f70b3/,,catalog,欧阳修等,宋,,,,
bnbes_da4e2f56,百衲本二十四史 宋书19,百衲本二十四史,170,book/bnbes_da4e2f56/,,catalog,沈约,南朝,,,,
bnbes_da58d10e,百衲本二十四史 元史18,百衲本二十四史,263,book/bnbes_da58d10e/,,catalog,宋濂等,明,,,,
bnbes_dad99616,百衲本二十四史 梁书09,百衲本二十四史,140,book/bnbes_dad99616/,,catalog,姚思廉,唐,,,,
bnbes_db3013c9,百衲本二十四史 舊五代史13,百衲本二十四史,163,book/bnbes_db3013c9/,,catalog,薛居正等,宋,,,,
bnbes_dbbde3ee,百衲本二十四史 明史083,百衲本二十四史,150,book/bnbes_dbbde3ee/,,catalog,张廷玉等,清,,,,
bnbes_dbd0a778,百衲本二十四史 北史32,百衲本二十四史,171,book/bnbes_dbd0a778/,,catalog,李延寿,唐,,,,
bnbes_dbf59671,百衲本二十四史 北齐书09,百衲本二十四史,176,book/bnbes_dbf59671/,,catalog,李百药,唐,,,,
bnbes_dca39a1c,百衲本二十四史 南史11,百衲本二十四史,169,book/bnbes_dca39a1c/,,catalog,李延寿,唐,,,,
bnbes_dd17b7c6,百衲本二十四史 宋史075,百衲本二十四史,167,book/bnbes_dd17b7c6/,,catalog,脱脱等,元,,,,
bnbes_dd4b1b04,百衲本二十四史 南史09,百衲本二十四史,173,book/bnbes_dd4b1b04/,,catalog,李延寿,唐,,,,
bnbes_dddb8712,百衲本二十四史 宋史015,百衲本二十四史,188,book/bnbes_dddb8712/,,catalog,脱脱等,元,,,,
bnbes_de6f3d5f,百衲本二十四史 五代史记06,百衲本二十四史,123,book/bnbes_de6f3d5f/,,rule,,汉,,,,
bnbes_de86032a,百衲本二十四史 舊唐书06,百衲本二十四史,192,book/bnbes_de86032a/,,catalog,刘昫等,五代,,,,
bnbes_dedd6cbf,百衲本二十四史 新唐书09,百衲本二十四史,159,book/bnbes_dedd6cbf/,,catalog,欧阳修等,宋,,,,
bnbes_def2e777,百衲本二十四史 南史13,百衲本二十四史,171,book/bnbes_def2e777/,,catalog,李延寿,唐,,,,
bnbes_defc0fea,百衲本二十四史 宋史008,百衲本二十四史,149,book/bnbes_defc0fea/,,catalog,脱脱等,元,,,,
bnbes_df301687,百衲本二十四史 元史45,百衲本二十四史,218,book/bnbes_df301687/,,catalog,宋濂等,明,,,,
bnbes_df6330d7,百衲本二十四史 汉书11,百衲本二十四史,185,book/bnbes_df6330d7/,,catalog,班固,汉,,,,
bnbes_dfc98d06,百衲本二十四史 宋史029,百衲本二十四史,173,book/bnbes_dfc98d06/,,catalog,脱脱等,元,,,,
bnbes_e00d6986,百衲本二十四史 周书07,百衲本二十四史,163,book/bnbes_e00d6986/,,catalog,令狐德棻等,唐,,,,
bnbes_e01bfcfc,百衲本二十四史 新唐书27,百衲本二十四史,155,book/bnbes_e01bfcfc/,,catalog,欧阳修等,宋,,,,
bnbes_e035faf1,百衲本二十四史 晉书16,百衲本二十四史,146,book/bnbes_e035faf1/,,catalog,房玄龄等,唐,,,,
bnbes_e04683a3,百衲本二十四史 魏书05,百衲本二十四史,140,book/bnbes_e04683a3/,,catalog,魏收,北朝,,,,
bnbes_e0d79b68,百衲本二十四史 魏书26,百衲本二十四史,139,book/bnbes_e0d79b68/,,catalog,魏收,北朝,,,,
bnbes_e1facffa,百衲本二十四史 明史001,百衲本二十四史,207,book/bnbes_e1facffa/,,catalog,张廷玉等,清,,,,
bnbes_e2c71693,百衲本二十四史 北史02,百衲本二十四史,169,book/bnbes_e2c71693/,,catalog,李延寿,唐,,,,
bnbes_e32c8776,百衲本二十四史 宋书33,百衲本二十四史,157,book/bnbes_e32c8776/,,catalog,沈约,南朝,,,,
