book_id,book_title,library_final,collection,req_no,part,old_page_count,pan_dir_id_status,bucket,webp_status,webp_prefix,source_url,source_root,source_relative_path,author
fuji-RB00001843,疵療治一流 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/26,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001843/,,fujikawa,fujikawa/fuji-RB00001843,
fuji-RB00001847,喜多村先生医話 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/30,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001847/,,fujikawa,fujikawa/fuji-RB00001847,喜多村槐園(直)述・小川敏筆記
fuji-RB00001858,吉氏家伝丹剤方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/36,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001858/,,fujikawa,fujikawa/fuji-RB00001858,
fuji-RB00001872,奇方撮要 1巻(前編) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/43,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001872/,,fujikawa,fujikawa/fuji-RB00001872,金子典従著
fuji-RB00001887,宮外妊娠経験説 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/57,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001887/,,fujikawa,fujikawa/fuji-RB00001887,三宅春齢(董庵)著
fuji-RB00001891,救急易解方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/60,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001891/,,fujikawa,fujikawa/fuji-RB00001891,
fuji-RB00001907,(増補)灸穴早合点 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/74,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001907/,,fujikawa,fujikawa/fuji-RB00001907,奥田慊山補正
fuji-RB00001911,救荒本草会誌 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/82,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001911/,,fujikawa,fujikawa/fuji-RB00001911,小野蘭山(職博)著
fuji-RB00001917,求古館医譜 9巻(診候(巻1)・外因(巻2-5・17)・内因婦人嬰童(6-8)篇) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/77,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001917/,,fujikawa,fujikawa/fuji-RB00001917,高階枳園(経宣)口授
fuji-RB00001918,求古館医譜 2巻(診候外因雑因篇) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/78,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001918/,,fujikawa,fujikawa/fuji-RB00001918,高階枳園著
fuji-RB00001922,牛山活套 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/87,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001922/,,fujikawa,fujikawa/fuji-RB00001922,香月牛山(則真)著
fuji-RB00001958,救偏瑣言 10巻附1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/115,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001958/,,fujikawa,fujikawa/fuji-RB00001958,(清)費啓泰撰
fuji-RB00001962,灸法要穴 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/121,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001962/,,fujikawa,fujikawa/fuji-RB00001962,
fuji-RB00001963,灸法要穴 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/122,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001963/,,fujikawa,fujikawa/fuji-RB00001963,
fuji-RB00001964,救民単方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/123,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001964/,,fujikawa,fujikawa/fuji-RB00001964,佐々城直知著
fuji-RB00001968,救民妙薬集 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/127,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001968/,,fujikawa,fujikawa/fuji-RB00001968,穂積宗与(甫菴)著
fuji-RB00001975,恭菴先生雑記 1巻(方録之部) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/146,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001975/,,fujikawa,fujikawa/fuji-RB00001975,大西恭菴説・広瀬親侃筆記
fuji-RB00001979,杏蔭斎正骨要訣 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/149,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001979/,,fujikawa,fujikawa/fuji-RB00001979,吉原元棟(隆仙)著
fuji-RB00001985,篋中方 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/153,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001985/,,fujikawa,fujikawa/fuji-RB00001985,市川匡著
fuji-RB00001987,杏林雑話 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/155,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001987/,,fujikawa,fujikawa/fuji-RB00001987,浅田宗伯(惟常)著
fuji-RB00001988,杏林内省録 6巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/245,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001988/,,fujikawa,fujikawa/fuji-RB00001988,緒方惟勝編
fuji-RB00001992,魚貝能毒品物図考 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/145,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001992/,,fujikawa,fujikawa/fuji-RB00001992,青苔園著
fuji-RB00002004,局方発揮 1巻(巻1のみ) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/142,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002004/,,fujikawa,fujikawa/fuji-RB00002004,(元)朱震亨(丹渓)撰
fuji-RB00002010,切紙聞書(57ヶ条) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/161,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002010/,,fujikawa,fujikawa/fuji-RB00002010,意菴講・中村光政誌
fuji-RB00002015,銀海発明 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/168,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002015/,,fujikawa,fujikawa/fuji-RB00002015,
fuji-RB00002020,金匱玉函要略方論講義 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/173,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002020/,,fujikawa,fujikawa/fuji-RB00002020,越智正隆著
fuji-RB00002022,金匱直解 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/175,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002022/,,fujikawa,fujikawa/fuji-RB00002022,(漢)張機(仲景)撰 ・(清)程林(雲来)註
fuji-RB00002025,金匱要略聞書 4巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/251,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002025/,,fujikawa,fujikawa/fuji-RB00002025,吉益南涯(猷)講説・伊藤祐義筆記
fuji-RB00002029,金匱要略精義 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/183,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002029/,,fujikawa,fujikawa/fuji-RB00002029,吉益北洲(順)著
fuji-RB00002036,金鶏医談 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/190,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002036/,,fujikawa,fujikawa/fuji-RB00002036,畑秀龍(道雲)著
fuji-RB00002037,金鶏医談 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/191,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002037/,,fujikawa,fujikawa/fuji-RB00002037,畑秀龍(道雲)著
